	HvsL	HvsL	HvsL	HvsL	HvsL
pseudo_11298	pseudo_transcript_0	0.29975697	0.071461623	5	5
pseudo_11299	pseudo_transcript_0	0.859412425	-0.034753135	5	5
pseudo_113	pseudo_transcript_0	0.501118037	0.117913765	5	5
pseudo_1130	pseudo_transcript_0	0.273809262	0.234730775	5	5
pseudo_11300	pseudo_transcript_0	0.958881931	-0.031556179	5	5
pseudo_11301	pseudo_transcript_0	0.139939029	0.284834923	5	5
pseudo_11302	pseudo_transcript_0	0.553803471	0.079204215	5	5
pseudo_11303	pseudo_transcript_0	0.393098558	0.097687221	5	5
pseudo_11304	pseudo_transcript_0	0.289793266	-0.090444735	5	5
pseudo_11305	pseudo_transcript_0	0.469399307	0.013232911	5	5
pseudo_11306	pseudo_transcript_0	0.952919671	-0.132410116	5	5
pseudo_11307	pseudo_transcript_0	0.190295241	-0.022195936	5	5
pseudo_11308	pseudo_transcript_0	0.972802241	0.00194644	5	5
pseudo_11309	pseudo_transcript_0	0.908639151	-0.103133721	5	5
pseudo_1131	pseudo_transcript_0	0.032935756	0.355005496	4	4
pseudo_11310	pseudo_transcript_0	0.614314041	0.063589052	5	5
pseudo_11311	pseudo_transcript_0	0.017631331	0.24769416	5	5
pseudo_11312	pseudo_transcript_0	0.313127323	0.166123023	5	5
pseudo_11313	pseudo_transcript_0	0.622519137	-0.121932081	5	5
pseudo_11314	pseudo_transcript_0	0.930422127	0.11042544	5	5
pseudo_11315	pseudo_transcript_0	0.750115335	0.029880221	5	5
pseudo_11316	pseudo_transcript_0	0.464307521	-0.010848636	5	5
pseudo_11317	pseudo_transcript_0	0.769744633	-0.027622294	5	5
pseudo_11318	pseudo_transcript_0	0.326768388	-0.147362673	4	4
pseudo_11319	pseudo_transcript_0	0.399743349	0.172388645	4	4
pseudo_1132	pseudo_transcript_0	0.942326815	-0.033383232	5	5
pseudo_11320	pseudo_transcript_0	0.988721071	-0.049473309	5	5
pseudo_11321	pseudo_transcript_0	0.245024231	-0.185535819	5	5
pseudo_11322	pseudo_transcript_0	0.741302399	0.085778149	5	5
pseudo_11323	pseudo_transcript_0	0.258789096	-0.190423187	5	5
pseudo_11324	pseudo_transcript_0	0.848322928	-0.244934968	5	5
pseudo_11325	pseudo_transcript_0	0.154794632	0.273724233	5	5
pseudo_11326	pseudo_transcript_0	0.157953485	0.22702674	5	5
pseudo_11327	pseudo_transcript_0	0.228230435	-0.210615352	5	5
pseudo_11328	pseudo_transcript_0	0.409424378	-0.061341386	5	5
pseudo_11329	pseudo_transcript_0	0.359904535	-0.141643483	5	5
pseudo_1133	pseudo_transcript_0	0.23668664	-0.196603927	5	5
pseudo_11330	pseudo_transcript_0	0.22790955	-0.097977893	5	5
pseudo_11331	pseudo_transcript_0	0.312728558	-0.105401789	5	5
pseudo_11332	pseudo_transcript_0	0.74586883	-0.015274601	4	4
pseudo_11333	pseudo_transcript_0	0.551022814	-0.120164284	5	5
pseudo_11334	pseudo_transcript_0	0.669072289	0.079669971	5	5
pseudo_11335	pseudo_transcript_0	0.430069977	-0.106324422	4	4
pseudo_11336	pseudo_transcript_0	0.898759467	-0.118254561	5	5
pseudo_11337	pseudo_transcript_0	0.982087316	0.164319075	5	5
pseudo_11338	pseudo_transcript_0	0.875770399	-0.032204419	5	5
pseudo_11339	pseudo_transcript_0	0.629589643	-0.070775593	5	5
pseudo_1134	pseudo_transcript_0	0.095790384	0.401976046	5	5
pseudo_11340	pseudo_transcript_0	0.686162674	-0.069928296	4	4
pseudo_11341	pseudo_transcript_0	0.597471377	-0.064543283	5	5
pseudo_11342	pseudo_transcript_0	0.27235362	-0.156156658	5	5
pseudo_11343	pseudo_transcript_0	0.512830092	0.069880912	5	5
pseudo_11344	pseudo_transcript_0	0.045421262	0.235010305	5	5
pseudo_11345	pseudo_transcript_0	0.73816306	-0.012305211	5	5
pseudo_11346	pseudo_transcript_0	0.561065173	0.048755098	5	5
pseudo_11347	pseudo_transcript_0	0.387593207	0.089839222	5	5
pseudo_11348	pseudo_transcript_0	0.125793852	0.148008695	5	5
pseudo_11349	pseudo_transcript_0	0.319148956	0.22593534	5	5
pseudo_1135	pseudo_transcript_0	0.243004658	0.147262762	5	5
pseudo_11350	pseudo_transcript_0	0.394020701	0.41523192	5	5
pseudo_11351	pseudo_transcript_0	0.156489538	0.171221381	5	5
pseudo_11352	pseudo_transcript_0	0.897443326	-0.012195153	5	5
pseudo_11353	pseudo_transcript_0	0.512830092	-0.118480493	5	5
pseudo_11354	pseudo_transcript_0	0.850277783	-0.004599588	5	5
pseudo_11355	pseudo_transcript_0	0.590563933	0.053649436	5	5
pseudo_11356	pseudo_transcript_0	0.02130202	-0.277386991	5	5
pseudo_11357	pseudo_transcript_0	0.222952802	-0.194972028	4	4
pseudo_11358	pseudo_transcript_0	0.099663367	0.384749592	5	5
pseudo_11359	pseudo_transcript_0	0.251497134	-0.148093337	5	5
pseudo_1136	pseudo_transcript_0	0.736281546	-0.003867327	5	5
pseudo_11360	pseudo_transcript_0	0.173956606	0.216420217	5	5
pseudo_11361	pseudo_transcript_0	0.23966476	-0.068789824	5	5
pseudo_11362	pseudo_transcript_0	0.022111227	-0.312771409	5	5
pseudo_11363	pseudo_transcript_0	0.305607996	0.208202884	5	5
pseudo_11364	pseudo_transcript_0	0.502706748	0.087463375	5	5
pseudo_11365	pseudo_transcript_0	0.793366742	-0.0409886	5	5
pseudo_11366	pseudo_transcript_0	0.224401018	-0.140059886	5	5
pseudo_11367	pseudo_transcript_0	0.712589268	-0.074105762	5	5
pseudo_11368	pseudo_transcript_0	0.190576813	-0.253622325	5	5
pseudo_11369	pseudo_transcript_0	0.209845012	-0.12688943	5	5
pseudo_1137	pseudo_transcript_0	0.886267883	0.102345959	5	5
pseudo_11370	pseudo_transcript_0	0.892181621	-0.095485168	5	5
pseudo_11371	pseudo_transcript_0	0.112599748	-0.419993656	5	5
pseudo_11372	pseudo_transcript_0	0.501647311	-0.088170896	5	5
pseudo_11373	pseudo_transcript_0	0.210450148	0.277989011	5	5
pseudo_11374	pseudo_transcript_0	0.374483979	-0.188516908	5	5
pseudo_11375	pseudo_transcript_0	0.893496612	0.001531014	5	5
pseudo_11376	pseudo_transcript_0	0.305215587	0.083990143	5	5
pseudo_11377	pseudo_transcript_0	0.952910273	0.050052699	4	4
pseudo_11378	pseudo_transcript_0	0.026400861	0.227330261	5	5
pseudo_11379	pseudo_transcript_0	0.450215366	0.166521871	5	5
pseudo_1138	pseudo_transcript_0	0.359468371	-0.095011327	5	5
pseudo_11380	pseudo_transcript_0	0.646816457	-0.079422358	5	5
pseudo_11381	pseudo_transcript_0	0.269458245	0.102377398	5	5
pseudo_11382	pseudo_transcript_0	0.270903282	0.096321576	5	5
pseudo_11383	pseudo_transcript_0	0.408952399	0.097744389	5	5
pseudo_11384	pseudo_transcript_0	0.98009741	-0.003991383	5	5
pseudo_11385	pseudo_transcript_0	0.539671857	0.041857549	4	4
pseudo_11386	pseudo_transcript_0	0.962858069	-0.009433637	5	5
pseudo_11387	pseudo_transcript_0	0.459751321	0.1035608	5	5
pseudo_11388	pseudo_transcript_0	0.031522571	0.224246848	5	5
pseudo_11389	pseudo_transcript_0	0.607900808	0.196868133	5	5
pseudo_1139	pseudo_transcript_0	0.374036882	0.166619645	5	5
pseudo_11390	pseudo_transcript_0	0.506956292	-0.003615168	5	5
pseudo_11391	pseudo_transcript_0	0.666651743	0.086892983	5	5
pseudo_11392	pseudo_transcript_0	0.259491133	0.190285629	5	5
pseudo_11393	pseudo_transcript_0	0.461267267	0.075925564	5	5
pseudo_11394	pseudo_transcript_0	0.364313226	0.239283375	4	4
pseudo_11395	pseudo_transcript_0	0.217500133	-0.272234098	5	5
pseudo_11396	pseudo_transcript_0	0.346538153	-0.129419508	5	5
pseudo_11397	pseudo_transcript_0	0.489549236	-0.087028719	5	5
pseudo_11398	pseudo_transcript_0	0.536127011	-0.131976866	5	5
pseudo_11399	pseudo_transcript_0	0.072865242	0.180154495	5	5
pseudo_114	pseudo_transcript_0	0.304823513	0.159559724	5	5
pseudo_1140	pseudo_transcript_0	0.963520851	-0.009070872	5	5
pseudo_11400	pseudo_transcript_0	0.397722348	0.081032203	5	5
pseudo_11401	pseudo_transcript_0	0.592287346	-0.137470726	5	5
pseudo_11402	pseudo_transcript_0	0.664234662	0.014507609	5	5
pseudo_11403	pseudo_transcript_0	0.160108692	-0.184715688	4	4
pseudo_11404	pseudo_transcript_0	0.902709545	-0.013630133	5	5
pseudo_11405	pseudo_transcript_0	0.499003901	-0.039384913	5	5
pseudo_11406	pseudo_transcript_0	0.452213572	0.100110152	5	5
pseudo_11407	pseudo_transcript_0	0.105795583	0.193715627	5	5
pseudo_11408	pseudo_transcript_0	0.728146712	-0.16117106	5	5
pseudo_11409	pseudo_transcript_0	0.755039066	-0.026578756	4	4
pseudo_1141	pseudo_transcript_0	0.543825405	0.02190124	5	5
pseudo_11410	pseudo_transcript_0	0.519817303	-0.090198493	5	5
pseudo_11411	pseudo_transcript_0	0.972802241	-0.01290352	5	5
pseudo_11412	pseudo_transcript_0	0.844416027	-0.023465195	5	5
pseudo_11413	pseudo_transcript_0	0.094308061	0.33309283	5	5
pseudo_11414	pseudo_transcript_0	0.940341733	-0.300430987	5	5
pseudo_11415	pseudo_transcript_0	0.452213572	0.120848664	5	5
pseudo_11416	pseudo_transcript_0	0.231781422	0.139264053	5	5
pseudo_11417	pseudo_transcript_0	0.331004256	0.112725839	5	5
pseudo_11418	pseudo_transcript_0	0.127239114	0.207029432	5	5
pseudo_11419	pseudo_transcript_0	0.328528353	-0.033211272	5	5
pseudo_1142	pseudo_transcript_0	0.12827933	0.209227804	5	5
pseudo_11420	pseudo_transcript_0	0.009003311	0.566382886	5	5
pseudo_11421	pseudo_transcript_0	0.004251107	-0.472679529	5	5
pseudo_11422	pseudo_transcript_0	0.459246626	0.25996138	5	5
pseudo_11423	pseudo_transcript_0	0.373590115	-0.168063284	5	5
pseudo_11424	pseudo_transcript_0	0.342717565	-0.047722863	5	5
pseudo_11425	pseudo_transcript_0	0.268018507	-0.109099069	5	5
pseudo_11426	pseudo_transcript_0	0.071809127	0.40578739	5	5
pseudo_11427	pseudo_transcript_0	0.681382157	0.066025516	4	4
pseudo_11428	pseudo_transcript_0	0.128488165	-0.276569279	5	5
pseudo_11429	pseudo_transcript_0	0.399581006	-0.114138455	5	5
pseudo_1143	pseudo_transcript_0	0.631954086	-0.075365294	5	5
pseudo_11430	pseudo_transcript_0	0.810081652	-0.038575707	5	5
pseudo_11431	pseudo_transcript_0	0.286772892	-0.27434922	5	5
pseudo_11432	pseudo_transcript_0	0.253220177	-0.228826993	5	5
pseudo_11433	pseudo_transcript_0	0.71011094	-0.136146843	5	5
pseudo_11434	pseudo_transcript_0	0.372697572	-0.140699809	5	5
pseudo_11435	pseudo_transcript_0	0.609064629	-0.129952251	5	5
pseudo_11436	pseudo_transcript_0	0.828179487	-0.031771101	5	5
pseudo_11437	pseudo_transcript_0	0.209542917	-0.205323314	5	5
pseudo_11438	pseudo_transcript_0	0.143091165	-0.271725098	5	5
pseudo_11439	pseudo_transcript_0	0.874749631	0.027539849	4	4
pseudo_1144	pseudo_transcript_0	0.836613789	-0.014913581	5	5
pseudo_11440	pseudo_transcript_0	0.162054106	-0.301446077	4	4
pseudo_11441	pseudo_transcript_0	0.452713906	-0.04701261	5	5
pseudo_11442	pseudo_transcript_0	0.177137562	-0.35728599	5	5
pseudo_11443	pseudo_transcript_0	0.182535125	0.221105661	5	5
pseudo_11444	pseudo_transcript_0	0.361652511	-0.076965404	5	5
pseudo_11445	pseudo_transcript_0	0.053807072	-0.355214408	5	5
pseudo_11446	pseudo_transcript_0	0.417975262	0.011496282	5	5
pseudo_11447	pseudo_transcript_0	0.182535125	-0.160339655	5	5
pseudo_11448	pseudo_transcript_0	0.735028081	-0.080758702	5	5
pseudo_11449	pseudo_transcript_0	0.815242562	0.072296705	5	5
pseudo_1145	pseudo_transcript_0	0.182808169	-0.259274727	5	5
pseudo_11450	pseudo_transcript_0	0.50802162	0.120262894	5	5
pseudo_11451	pseudo_transcript_0	0.812016039	-0.077733259	5	5
pseudo_11452	pseudo_transcript_0	0.10924772	-0.368610171	5	5
pseudo_11453	pseudo_transcript_0	0.287149272	0.163551991	5	5
pseudo_11454	pseudo_transcript_0	0.960869878	0.014017025	5	5
pseudo_11455	pseudo_transcript_0	0.807504275	-0.069882905	5	5
pseudo_11456	pseudo_transcript_0	0.078620262	0.360728232	5	5
pseudo_11457	pseudo_transcript_0	0.845066914	-0.001113854	5	5
pseudo_11458	pseudo_transcript_0	0.556590981	-0.077133122	5	5
pseudo_11459	pseudo_transcript_0	0.054052673	-0.255001574	4	4
pseudo_1146	pseudo_transcript_0	0.242334075	-0.119272133	5	5
pseudo_11460	pseudo_transcript_0	0.201505038	0.116529164	5	5
pseudo_11461	pseudo_transcript_0	0.85719382	-0.097332893	4	4
pseudo_11462	pseudo_transcript_0	0.008808138	0.37657546	5	5
pseudo_11463	pseudo_transcript_0	0.035946946	0.250516994	4	4
pseudo_11464	pseudo_transcript_0	0.906662033	0.190063666	5	5
pseudo_11465	pseudo_transcript_0	0.218432072	0.140079744	5	5
pseudo_11466	pseudo_transcript_0	0.634914938	0.025219084	5	5
pseudo_11467	pseudo_transcript_0	0.548803245	0.031307594	5	5
pseudo_11468	pseudo_transcript_0	0.981424001	-0.097257409	5	5
pseudo_11469	pseudo_transcript_0	0.270257928	-0.153573165	4	4
pseudo_1147	pseudo_transcript_0	0.085040588	-0.235049807	5	5
pseudo_11470	pseudo_transcript_0	0.116806186	0.155179408	5	5
pseudo_11471	pseudo_transcript_0	0.227588987	0.238713691	5	5
pseudo_11472	pseudo_transcript_0	0.895469646	0.056241591	5	5
pseudo_11473	pseudo_transcript_0	0.535031735	-0.2333549	5	5
pseudo_11474	pseudo_transcript_0	0.135093979	-0.155429162	5	5
pseudo_11475	pseudo_transcript_0	0.963520851	0.178218014	5	5
pseudo_11476	pseudo_transcript_0	0.365164395	-0.102786048	5	5
pseudo_11477	pseudo_transcript_0	0.558266763	-0.083070669	5	5
pseudo_11478	pseudo_transcript_0	0.875770399	0.046779394	5	5
pseudo_11479	pseudo_transcript_0	0.436368781	-0.133154458	5	5
pseudo_1148	pseudo_transcript_0	0.629589643	0.073880617	5	5
pseudo_11480	pseudo_transcript_0	0.906352856	0.005493203	4	4
pseudo_11481	pseudo_transcript_0	0.010159569	-0.347658433	5	5
pseudo_11482	pseudo_transcript_0	0.307969474	0.05302668	5	5
pseudo_11483	pseudo_transcript_0	0.681836146	0.021255676	5	5
pseudo_11484	pseudo_transcript_0	0.434899915	0.061160402	5	5
pseudo_11485	pseudo_transcript_0	0.133149683	-0.403113621	5	5
pseudo_11486	pseudo_transcript_0	0.649806164	0.080088528	5	5
pseudo_11487	pseudo_transcript_0	0.275270214	-0.105860124	5	5
pseudo_11488	pseudo_transcript_0	0.101039409	-0.227152127	5	5
pseudo_11489	pseudo_transcript_0	0.534764803	0.065030614	4	4
pseudo_1149	pseudo_transcript_0	0.93901855	0.078540692	5	5
pseudo_11490	pseudo_transcript_0	0.535031735	0.116099188	5	5
pseudo_11491	pseudo_transcript_0	0.726897886	-0.063021634	5	5
pseudo_11492	pseudo_transcript_0	0.742559345	-0.066853537	5	5
pseudo_11493	pseudo_transcript_0	0.064401759	-0.215368866	5	5
pseudo_11494	pseudo_transcript_0	0.220304549	0.140133343	5	5
pseudo_11495	pseudo_transcript_0	0.800666661	-0.032706534	4	4
pseudo_11496	pseudo_transcript_0	0.863038356	-0.118301184	4	4
pseudo_11497	pseudo_transcript_0	0.048234508	0.203238628	3	3
pseudo_11498	pseudo_transcript_0	0.943650403	0.08116873	5	5
pseudo_11499	pseudo_transcript_0	0.173956606	-0.323169178	5	5
pseudo_115	pseudo_transcript_0	0.288280412	-0.107683939	5	5
pseudo_1150	pseudo_transcript_0	0.351674283	0.172876424	5	5
pseudo_11500	pseudo_transcript_0	0.122136181	0.335237651	5	5
pseudo_11501	pseudo_transcript_0	0.430996925	0.008781974	5	5
pseudo_11502	pseudo_transcript_0	0.156489538	0.309085273	5	5
pseudo_11503	pseudo_transcript_0	0.52197705	0.06220514	5	5
pseudo_11504	pseudo_transcript_0	0.900075886	0.13814628	5	5
pseudo_11505	pseudo_transcript_0	0.079471813	0.253746132	5	5
pseudo_11506	pseudo_transcript_0	0.089185935	-0.242189107	5	5
pseudo_11507	pseudo_transcript_0	0.40989668	-0.129252039	5	5
pseudo_11508	pseudo_transcript_0	0.235699771	0.21321279	5	5
pseudo_11509	pseudo_transcript_0	0.410369305	0.006425804	5	5
pseudo_1151	pseudo_transcript_0	0.443755859	0.040793546	5	5
pseudo_11510	pseudo_transcript_0	0.978770874	-0.082168548	5	5
pseudo_11511	pseudo_transcript_0	0.549912478	0.047656452	5	5
pseudo_11512	pseudo_transcript_0	0.643832441	-0.071438191	5	5
pseudo_11513	pseudo_transcript_0	0.251841086	-0.159838776	5	5
pseudo_11514	pseudo_transcript_0	0.846256635	-0.034132024	4	4
pseudo_11515	pseudo_transcript_0	0.600360277	0.087516584	5	5
pseudo_11516	pseudo_transcript_0	0.596317589	0.050259184	5	5
pseudo_11517	pseudo_transcript_0	0.72939626	-0.050589656	5	5
pseudo_11518	pseudo_transcript_0	0.73189751	0.008221644	5	5
pseudo_11519	pseudo_transcript_0	0.694691704	0.056697667	5	5
pseudo_1152	pseudo_transcript_0	0.617824683	0.072310872	5	5
pseudo_11520	pseudo_transcript_0	0.680007047	0.052644853	5	5
pseudo_11521	pseudo_transcript_0	0.419410567	-0.108514486	5	5
pseudo_11522	pseudo_transcript_0	0.824293342	-0.074992522	5	5
pseudo_11523	pseudo_transcript_0	0.811371115	0.078128677	5	5
pseudo_11524	pseudo_transcript_0	0.048462452	0.328994915	5	5
pseudo_11525	pseudo_transcript_0	0.543273701	-0.091493971	5	5
pseudo_11526	pseudo_transcript_0	0.527396535	-0.016092911	5	5
pseudo_11527	pseudo_transcript_0	0.40989668	0.102109188	5	5
pseudo_11528	pseudo_transcript_0	0.198585843	-0.257592155	5	5
pseudo_11529	pseudo_transcript_0	0.8554952	0.03289972	5	5
pseudo_1153	pseudo_transcript_0	0.558266763	-0.074353293	5	5
pseudo_11530	pseudo_transcript_0	0.970149985	-0.077866076	5	5
pseudo_11531	pseudo_transcript_0	0.47554999	0.082509931	5	5
pseudo_11532	pseudo_transcript_0	0.149793555	0.183446212	5	5
pseudo_11533	pseudo_transcript_0	0.591138148	0.026092499	5	5
pseudo_11534	pseudo_transcript_0	0.097964383	0.296282427	5	5
pseudo_11535	pseudo_transcript_0	0.584264588	-0.118803474	5	5
pseudo_11536	pseudo_transcript_0	0.921173538	-0.082711648	5	5
pseudo_11537	pseudo_transcript_0	0.135746931	-0.345760333	5	5
pseudo_11538	pseudo_transcript_0	0.644428787	0.108977704	5	5
pseudo_11539	pseudo_transcript_0	0.047523323	-0.425933142	5	5
pseudo_1154	pseudo_transcript_0	0.05527038	0.215998906	5	5
pseudo_11540	pseudo_transcript_0	0.623741624	0.048410988	4	4
pseudo_11541	pseudo_transcript_0	0.718176578	0.043518147	5	5
pseudo_11542	pseudo_transcript_0	0.456727813	0.075656403	5	5
pseudo_11543	pseudo_transcript_0	0.243004658	0.36724108	5	5
pseudo_11544	pseudo_transcript_0	0.522596445	0.059399239	4	4
pseudo_11545	pseudo_transcript_0	0.140386035	0.305316391	5	5
pseudo_11546	pseudo_transcript_0	0.352534968	-0.184400508	5	5
pseudo_11547	pseudo_transcript_0	0.700228489	0.047467468	5	5
pseudo_11548	pseudo_transcript_0	0.69100952	0.213300976	5	5
pseudo_11549	pseudo_transcript_0	0.544929648	0.147327793	5	5
pseudo_1155	pseudo_transcript_0	0.121334767	0.32672129	5	5
pseudo_11550	pseudo_transcript_0	0.76593344	0.05319391	5	5
pseudo_11551	pseudo_transcript_0	0.875770399	-0.194833697	5	5
pseudo_11552	pseudo_transcript_0	0.601517603	-0.128886093	5	5
pseudo_11553	pseudo_transcript_0	0.451568043	0.124763988	4	4
pseudo_11554	pseudo_transcript_0	0.928439452	-0.055684338	5	5
pseudo_11555	pseudo_transcript_0	0.368254703	0.303157154	5	5
pseudo_11556	pseudo_transcript_0	0.180361646	-0.286472708	5	5
pseudo_11557	pseudo_transcript_0	0.725649785	0.050960582	5	5
pseudo_11558	pseudo_transcript_0	0.639664455	-0.061645931	5	5
pseudo_11559	pseudo_transcript_0	0.142637553	0.129165281	5	5
pseudo_1156	pseudo_transcript_0	0.751377023	-0.051024869	5	5
pseudo_11560	pseudo_transcript_0	0.898759467	0.037413338	5	5
pseudo_11561	pseudo_transcript_0	0.695306105	0.033022742	5	5
pseudo_11562	pseudo_transcript_0	0.243340439	-0.193841284	5	5
pseudo_11563	pseudo_transcript_0	0.862679429	0.105048779	5	5
pseudo_11564	pseudo_transcript_0	0.71510417	-0.073750066	4	4
pseudo_11565	pseudo_transcript_0	0.600360277	0.161154915	5	5
pseudo_11566	pseudo_transcript_0	0.492690036	-0.075998981	5	5
pseudo_11567	pseudo_transcript_0	0.103131803	-0.240881398	5	5
pseudo_11568	pseudo_transcript_0	0.157953485	-0.161392839	5	5
pseudo_11569	pseudo_transcript_0	0.725649785	-0.047359382	5	5
pseudo_1157	pseudo_transcript_0	0.35903254	0.100448607	5	5
pseudo_11570	pseudo_transcript_0	0.611978507	-0.156415057	5	5
pseudo_11571	pseudo_transcript_0	0.709491836	-0.043270146	5	5
pseudo_11572	pseudo_transcript_0	0.61372979	-0.057240734	5	5
pseudo_11573	pseudo_transcript_0	0.509088121	-0.058844672	5	5
pseudo_11574	pseudo_transcript_0	0.105616317	-0.320070301	5	5
pseudo_11575	pseudo_transcript_0	0.287903032	-0.204702808	5	5
pseudo_11576	pseudo_transcript_0	0.515511677	0.118014796	5	5
pseudo_11577	pseudo_transcript_0	0.315526941	0.0810887	5	5
pseudo_11578	pseudo_transcript_0	0.132526808	0.141498338	4	4
pseudo_11579	pseudo_transcript_0	0.327705728	-0.157127876	5	5
pseudo_1158	pseudo_transcript_0	0.951595071	-0.036574338	5	5
pseudo_11580	pseudo_transcript_0	0.785683566	-0.025849488	5	5
pseudo_11581	pseudo_transcript_0	0.414161954	-0.019092225	5	5
pseudo_11582	pseudo_transcript_0	0.67270956	-0.032118251	5	5
pseudo_11583	pseudo_transcript_0	0.282282315	-0.220234229	5	5
pseudo_11584	pseudo_transcript_0	0.847671516	-0.032185428	5	5
pseudo_11585	pseudo_transcript_0	0.73189751	-0.037156262	5	5
pseudo_11586	pseudo_transcript_0	0.035610178	-0.466949486	5	5
pseudo_11587	pseudo_transcript_0	0.14560584	0.377374039	5	5
pseudo_11588	pseudo_transcript_0	0.542722276	0.159692024	5	5
pseudo_11589	pseudo_transcript_0	0.919853152	-0.009521273	5	5
pseudo_1159	pseudo_transcript_0	0.858654233	-0.032966579	4	4
pseudo_11590	pseudo_transcript_0	0.342717565	0.062996755	5	5
pseudo_11591	pseudo_transcript_0	0.053600692	-0.192316907	5	5
pseudo_11592	pseudo_transcript_0	0.499284055	-0.143680606	4	4
pseudo_11593	pseudo_transcript_0	0.031325945	-0.388661315	5	5
pseudo_11594	pseudo_transcript_0	0.419410567	0.070583664	5	5
pseudo_11595	pseudo_transcript_0	0.670889961	-0.065778557	5	5
pseudo_11596	pseudo_transcript_0	0.173430622	0.235907917	5	5
pseudo_11597	pseudo_transcript_0	0.495315597	0.062617177	5	5
pseudo_11598	pseudo_transcript_0	0.414637489	-0.09163153	5	5
pseudo_11599	pseudo_transcript_0	0.673923692	0.078838024	5	5
pseudo_116	pseudo_transcript_0	0.056443259	-0.293523112	5	5
pseudo_1160	pseudo_transcript_0	0.33892401	-0.015144403	5	5
pseudo_11600	pseudo_transcript_0	0.496367911	-0.007665722	5	5
pseudo_11601	pseudo_transcript_0	0.519817303	0.11978627	5	5
pseudo_11602	pseudo_transcript_0	0.219679115	0.124562956	5	5
pseudo_11603	pseudo_transcript_1	0.230485643	0.140459371	5	5
pseudo_11604	pseudo_transcript_0	0.336410002	-0.115291868	5	5
pseudo_11605	pseudo_transcript_0	0.473494864	0.048353257	5	5
pseudo_11606	pseudo_transcript_0	0.760860664	-0.205284074	5	5
pseudo_11607	pseudo_transcript_0	0.999628999	-0.007234033	4	4
pseudo_11608	pseudo_transcript_0	0.276002681	0.208729647	5	5
pseudo_11609	pseudo_transcript_0	0.347390842	-0.168384654	5	5
pseudo_1161	pseudo_transcript_0	0.98606745	-0.109805641	5	5
pseudo_11610	pseudo_transcript_0	0.645025362	0.26873507	5	5
pseudo_11611	pseudo_transcript_0	0.736281546	0.090103082	5	5
pseudo_11612	pseudo_transcript_0	0.982750643	0.000881556	5	5
pseudo_11613	pseudo_transcript_0	0.253220177	-0.18440836	5	5
pseudo_11614	pseudo_transcript_0	0.768473612	-0.209893673	5	5
pseudo_11615	pseudo_transcript_0	0.122739953	0.216062409	5	5
pseudo_11616	pseudo_transcript_0	0.350228674	-0.025344451	4	4
pseudo_11617	pseudo_transcript_0	0.251841086	0.153417023	5	5
pseudo_11618	pseudo_transcript_0	0.034958835	0.289265037	5	5
pseudo_11619	pseudo_transcript_0	0.202976316	-0.112834692	5	5
pseudo_1162	pseudo_transcript_0	0.235371463	0.175100978	5	5
pseudo_11620	pseudo_transcript_0	0.470421356	-0.19228683	5	5
pseudo_11621	pseudo_transcript_0	0.480709142	-0.013123443	5	5
pseudo_11622	pseudo_transcript_0	0.444746171	-0.167957123	5	5
pseudo_11623	pseudo_transcript_0	0.454718364	-0.13576128	5	5
pseudo_11624	pseudo_transcript_0	0.97366373	-0.000569867	4	4
pseudo_11625	pseudo_transcript_0	0.943284728	-0.123946673	4	4
pseudo_11626	pseudo_transcript_0	0.04571436	-0.263173651	4	4
pseudo_11627	pseudo_transcript_0	0.168492915	-0.08133198	5	5
pseudo_11628	pseudo_transcript_0	0.199749789	-0.191215501	5	5
pseudo_11629	pseudo_transcript_0	0.247055553	-0.135202129	5	5
pseudo_1163	pseudo_transcript_0	0.968161007	0.085239976	5	5
pseudo_11630	pseudo_transcript_0	0.081487946	0.514715726	5	5
pseudo_11631	pseudo_transcript_0	0.445443713	0.013947529	4	4
pseudo_11632	pseudo_transcript_0	0.836613789	0.033331503	5	5
pseudo_11633	pseudo_transcript_0	0.663027428	0.043517562	5	5
pseudo_11634	pseudo_transcript_0	0.193694381	-0.245078041	5	5
pseudo_11635	pseudo_transcript_0	0.774834872	-0.11055798	5	5
pseudo_11636	pseudo_transcript_0	0.807504275	0.105147405	5	5
pseudo_11637	pseudo_transcript_0	0.592862329	-0.04967634	5	5
pseudo_11638	pseudo_transcript_0	0.884954566	-0.11364469	5	5
pseudo_11639	pseudo_transcript_0	0.223134808	0.240209413	5	5
pseudo_1164	pseudo_transcript_0	0.439315073	0.038907561	5	5
pseudo_11640	pseudo_transcript_0	0.736281546	-0.009716192	5	5
pseudo_11641	pseudo_transcript_0	0.500060376	0.09417925	5	5
pseudo_11642	pseudo_transcript_0	0.224718371	-0.259924573	5	5
pseudo_11643	pseudo_transcript_0	0.487982888	0.320446057	5	5
pseudo_11644	pseudo_transcript_1	0.085947568	-0.269997215	4	4
pseudo_11645	pseudo_transcript_0	0.305669023	-0.116090044	4	4
pseudo_11646	pseudo_transcript_0	0.296667172	0.080344647	5	5
pseudo_11647	pseudo_transcript_0	0.617238966	-0.171061499	5	5
pseudo_11648	pseudo_transcript_0	0.869875034	-0.106511486	5	5
pseudo_11649	pseudo_transcript_1	0.904026778	-0.115394714	5	5
pseudo_1165	pseudo_transcript_0	0.338084671	-0.175140086	5	5
pseudo_11650	pseudo_transcript_0	0.050192168	0.295399068	5	5
